"id","db_id","difficulty","wrong_turn","error_class","subcategory","fix_idea","notes"
"bird_1011","formula_1","challenging","","","","",""
"bird_1014","formula_1","challenging","","","","",""
"bird_1029","european_football_2","moderate","","","","",""
"bird_1031","european_football_2","challenging","","","","",""
"bird_1032","european_football_2","moderate","","","","",""
"bird_1058","european_football_2","challenging","","","","",""
"bird_1092","european_football_2","simple","","","","",""
"bird_1094","european_football_2","challenging","","","","",""
"bird_1107","european_football_2","moderate","","","","",""
"bird_1135","european_football_2","moderate","","","","",""
"bird_1136","european_football_2","moderate","","","","",""
"bird_1144","european_football_2","simple","","","","",""
"bird_1148","european_football_2","moderate","","","","",""
"bird_1149","thrombosis_prediction","moderate","","","","",""
"bird_115","financial","challenging","","","","",""
"bird_1166","thrombosis_prediction","simple","","","","",""
"bird_1168","thrombosis_prediction","challenging","","","","",""
"bird_1175","thrombosis_prediction","moderate","","","","",""
"bird_1179","thrombosis_prediction","moderate","","","","",""
"bird_118","financial","moderate","","","","",""
"bird_1198","thrombosis_prediction","simple","","","","",""
"bird_1205","thrombosis_prediction","moderate","","","","",""
"bird_1225","thrombosis_prediction","moderate","","","","",""
"bird_1227","thrombosis_prediction","moderate","","","","",""
"bird_1238","thrombosis_prediction","moderate","","","","",""
"bird_1239","thrombosis_prediction","challenging","","","","",""
"bird_1241","thrombosis_prediction","challenging","","","","",""
"bird_1242","thrombosis_prediction","challenging","","","","",""
"bird_1243","thrombosis_prediction","challenging","","","","",""
"bird_1247","thrombosis_prediction","challenging","","","","",""
"bird_125","financial","challenging","","","","",""
"bird_1251","thrombosis_prediction","simple","","","","",""
"bird_1252","thrombosis_prediction","moderate","","","","",""
"bird_1254","thrombosis_prediction","moderate","","","","",""
"bird_1255","thrombosis_prediction","moderate","","","","",""
"bird_1256","thrombosis_prediction","moderate","","","","",""
"bird_1265","thrombosis_prediction","moderate","","","","",""
"bird_1267","thrombosis_prediction","moderate","","","","",""
"bird_1275","thrombosis_prediction","moderate","","","","",""
"bird_128","financial","moderate","","","","",""
"bird_129","financial","moderate","","","","",""
"bird_1302","thrombosis_prediction","challenging","","","","",""
"bird_1322","student_club","moderate","","","","",""
"bird_1338","student_club","moderate","","","","",""
"bird_136","financial","moderate","","","","",""
"bird_1387","student_club","moderate","","","","",""
"bird_1399","student_club","moderate","","","","",""
"bird_1404","student_club","moderate","","","","",""
"bird_1422","student_club","simple","","","","",""
"bird_1427","student_club","moderate","","","","",""
"bird_145","financial","moderate","","","","",""
"bird_1472","debit_card_specializing","moderate","","","","",""
"bird_1481","debit_card_specializing","challenging","","","","",""
"bird_1482","debit_card_specializing","challenging","","","","",""
"bird_1486","debit_card_specializing","simple","","","","",""
"bird_1490","debit_card_specializing","moderate","","","","",""
"bird_1498","debit_card_specializing","simple","","","","",""
"bird_1505","debit_card_specializing","simple","","","","",""
"bird_152","financial","moderate","","","","",""
"bird_1524","debit_card_specializing","simple","","","","",""
"bird_1525","debit_card_specializing","simple","","","","",""
"bird_1526","debit_card_specializing","challenging","","","","",""
"bird_1529","debit_card_specializing","moderate","","","","",""
"bird_1531","debit_card_specializing","moderate","","","","",""
"bird_159","financial","simple","","","","",""
"bird_168","financial","moderate","","","","",""
"bird_169","financial","challenging","","","","",""
"bird_186","financial","moderate","","","","",""
"bird_194","financial","moderate","","","","",""
"bird_197","toxicology","moderate","","","","",""
"bird_198","toxicology","challenging","","","","",""
"bird_207","toxicology","challenging","","","","",""
"bird_215","toxicology","challenging","","","","",""
"bird_218","toxicology","challenging","","","","",""
"bird_219","toxicology","challenging","","","","",""
"bird_23","california_schools","moderate","","","","",""
"bird_231","toxicology","challenging","","","","",""
"bird_234","toxicology","moderate","","","","",""
"bird_24","california_schools","moderate","","","","",""
"bird_244","toxicology","moderate","","","","",""
"bird_247","toxicology","challenging","","","","",""
"bird_25","california_schools","moderate","","","","",""
"bird_26","california_schools","moderate","","","","",""
"bird_260","toxicology","moderate","","","","",""
"bird_263","toxicology","challenging","","","","",""
"bird_27","california_schools","moderate","","","","",""
"bird_28","california_schools","challenging","","","","",""
"bird_281","toxicology","challenging","","","","",""
"bird_32","california_schools","moderate","","","","",""
"bird_340","card_games","simple","","","","",""
"bird_341","card_games","simple","","","","",""
"bird_344","card_games","moderate","","","","",""
"bird_349","card_games","moderate","","","","",""
"bird_352","card_games","moderate","","","","",""
"bird_36","california_schools","challenging","","","","",""
"bird_37","california_schools","moderate","","","","",""
"bird_371","card_games","challenging","","","","",""
"bird_383","card_games","simple","","","","",""
"bird_40","california_schools","moderate","","","","",""
"bird_402","card_games","moderate","","","","",""
"bird_408","card_games","moderate","","","","",""
"bird_41","california_schools","simple","","","","",""
"bird_416","card_games","challenging","","","","",""
"bird_424","card_games","simple","","","","",""
"bird_462","card_games","moderate","","","","",""
"bird_465","card_games","moderate","","","","",""
"bird_469","card_games","moderate","","","","",""
"bird_474","card_games","moderate","","","","",""
"bird_48","california_schools","moderate","","","","",""
"bird_484","card_games","moderate","","","","",""
"bird_486","card_games","moderate","","","","",""
"bird_50","california_schools","simple","","","","",""
"bird_530","card_games","moderate","","","","",""
"bird_533","codebase_community","simple","","","","",""
"bird_539","codebase_community","simple","","","","",""
"bird_565","codebase_community","moderate","","","","",""
"bird_584","codebase_community","moderate","","","","",""
"bird_586","codebase_community","challenging","","","","",""
"bird_595","codebase_community","moderate","","","","",""
"bird_598","codebase_community","challenging","","","","",""
"bird_604","codebase_community","moderate","","","","",""
"bird_637","codebase_community","moderate","","","","",""
"bird_639","codebase_community","challenging","","","","",""
"bird_640","codebase_community","moderate","","","","",""
"bird_672","codebase_community","moderate","","","","",""
"bird_682","codebase_community","moderate","","","","",""
"bird_683","codebase_community","moderate","","","","",""
"bird_685","codebase_community","moderate","","","","",""
"bird_694","codebase_community","moderate","","","","",""
"bird_710","codebase_community","simple","","","","",""
"bird_72","california_schools","moderate","","","","",""
"bird_743","superhero","challenging","","","","",""
"bird_744","superhero","challenging","","","","",""
"bird_751","superhero","moderate","","","","",""
"bird_829","superhero","challenging","","","","",""
"bird_83","california_schools","challenging","","","","",""
"bird_847","formula_1","simple","","","","",""
"bird_85","california_schools","moderate","","","","",""
"bird_87","california_schools","challenging","","","","",""
"bird_879","formula_1","moderate","","","","",""
"bird_896","formula_1","challenging","","","","",""
"bird_897","formula_1","moderate","","","","",""
"bird_902","formula_1","simple","","","","",""
"bird_906","formula_1","moderate","","","","",""
"bird_928","formula_1","moderate","","","","",""
"bird_930","formula_1","simple","","","","",""
"bird_937","formula_1","simple","","","","",""
"bird_94","financial","challenging","","","","",""
"bird_944","formula_1","challenging","","","","",""
"bird_95","financial","moderate","","","","",""
"bird_950","formula_1","simple","","","","",""
"bird_951","formula_1","simple","","","","",""
"bird_955","formula_1","challenging","","","","",""
"bird_959","formula_1","simple","","","","",""
"bird_963","formula_1","moderate","","","","",""
"bird_967","formula_1","simple","","","","",""
"bird_978","formula_1","simple","","","","",""
"bird_989","formula_1","moderate","","","","",""
